Dataglove Experiment Tue Sep 25 17:00:17 2018
USB0 DG5U_Right RightHand	1

event	var	l_thumb	l_index	l_middle	l_ring	l_little	r_thumb	r_index	r_middle	r_ring	r_little	time

start	0	0	0	0	0	0	0	0	0	0	0	0
sampleinterval	20	0	0	0	0	0	0	0	0	0	0	0
glove	1	0	0	0	0	0	3664	3919	4066	3743	3714	20
glove	1	0	0	0	0	0	3664	3919	4066	3743	3714	40
glove	1	0	0	0	0	0	3664	3919	4066	3742	3714	60
glove	1	0	0	0	0	0	3664	3919	4066	3743	3714	80
glove	1	0	0	0	0	0	3664	3919	4066	3743	3714	100
glove	1	0	0	0	0	0	3664	3919	4066	3743	3714	120
glove	1	0	0	0	0	0	3664	3919	4066	3742	3714	140
glove	1	0	0	0	0	0	3664	3920	4066	3743	3714	160
glove	1	0	0	0	0	0	3664	3919	4066	3743	3714	180
glove	1	0	0	0	0	0	3664	3919	4066	3743	3714	200
glove	1	0	0	0	0	0	3664	3919	4066	3743	3714	220
glove	1	0	0	0	0	0	3664	3919	4066	3743	3714	240
glove	1	0	0	0	0	0	3664	3919	4066	3743	3714	260
glove	1	0	0	0	0	0	3665	3919	4066	3743	3714	280
glove	1	0	0	0	0	0	3664	3919	4066	3743	3714	300
glove	1	0	0	0	0	0	3664	3919	4066	3743	3714	320
glove	1	0	0	0	0	0	3664	3920	4066	3743	3714	340
glove	1	0	0	0	0	0	3664	3919	4066	3743	3714	360
glove	1	0	0	0	0	0	3664	3919	4066	3743	3714	380
glove	1	0	0	0	0	0	3664	3919	4066	3743	3714	400
glove	1	0	0	0	0	0	3664	3920	4066	3743	3714	420
glove	1	0	0	0	0	0	3664	3920	4066	3743	3714	440
glove	1	0	0	0	0	0	3664	3920	4066	3743	3714	460
glove	1	0	0	0	0	0	3664	3920	4066	3743	3714	480
glove	1	0	0	0	0	0	3664	3919	4066	3742	3714	500
glove	1	0	0	0	0	0	3664	3920	4066	3743	3714	520
glove	1	0	0	0	0	0	3664	3919	4066	3743	3714	540
glove	1	0	0	0	0	0	3664	3919	4066	3743	3714	560
glove	1	0	0	0	0	0	3664	3919	4066	3743	3714	580
